seconds_since_start,reading_1_us,reading_2_us,reading_3_us,reading_4_us,reading_5_us,reading_6_us,reading_7_us,reading_8_us,reading_9_us,reading_10_us,reading_11_us,reading_12_us,reading_13_us,reading_14_us,reading_15_us,reading_16_us,reading_17_us,reading_18_us,reading_19_us,reading_20_us
12817,85,68,69,62,62,61,68,69,60,60,62,69,68,61,61,60,68,68,61,60
13122,83,40,61,61,59,39,61,60,62,42,61,60,62,39,61,60,61,42,60,61
13427,84,62,60,67,68,61,60,62,67,67,61,59,59,68,69,61,61,59,71,66
13733,56,63,62,62,40,61,64,59,41,60,62,60,40,59,62,62,40,59,61,61
14038,94,60,59,61,68,68,60,61,59,70,70,60,61,61,66,72,59,60,60,68
14343,87,40,63,62,62,41,61,59,60,42,61,60,61,38,61,61,61,38,59,61
14648,85,70,70,61,61,59,68,68,60,61,61,69,70,61,60,61,71,68,61,61
14953,86,43,62,63,60,41,60,61,61,39,60,61,60,39,60,61,61,39,61,62
15258,99,71,59,65,60,66,70,61,60,61,69,67,62,60,61,74,73,62,60,59
15563,93,62,61,61,40,61,61,62,40,60,59,60,37,62,60,60,38,61,60,62
15869,87,63,63,71,69,62,59,61,68,70,60,61,60,70,71,60,62,63,67,69
16174,85,39,62,60,60,39,60,61,62,40,61,60,60,40,62,59,61,42,60,61
16479,85,62,69,69,59,60,61,67,70,61,60,61,73,68,61,61,60,67,68,61
16784,84,62,37,61,61,60,39,60,63,59,40,59,60,60,40,62,62,60,38,59
17089,88,72,70,60,62,60,70,72,62,62,61,69,70,61,59,62,69,69,61,60
17394,57,65,61,61,40,60,61,63,39,60,60,60,42,61,63,62,37,62,61,60
17700,93,70,61,60,60,67,69,61,62,60,69,70,62,60,60,72,66,59,63,59
18005,57,65,63,61,40,60,60,62,41,62,60,60,38,61,61,61,41,64,62,64
18310,82,62,73,70,61,61,60,66,70,58,60,60,69,68,62,60,60,67,73,60
18615,92,63,60,59,39,61,60,61,39,60,60,60,40,61,61,59,41,61,60,61
18920,93,69,61,61,61,67,65,61,61,61,69,69,61,61,64,69,68,59,59,62
19225,86,40,59,62,61,42,61,61,60,38,62,62,60,40,61,62,64,40,60,62
19530,86,62,68,66,61,61,59,67,67,61,61,66,66,68,60,60,59,70,68,62
19836,56,67,59,62,37,60,64,61,42,61,62,62,41,60,63,61,40,61,59,60
20141,95,70,62,62,60,67,73,59,61,60,70,67,61,61,61,68,72,62,59,60
20446,84,40,61,60,59,40,60,60,61,42,62,61,62,39,61,62,60,40,62,61
20751,95,70,58,62,61,66,67,60,61,62,65,70,60,61,62,69,67,61,59,61
21056,84,65,40,62,62,61,39,62,62,61,41,61,58,62,40,62,60,61,38,61
21361,85,62,61,71,68,59,61,60,69,71,60,60,59,69,71,63,60,59,65,68
21667,56,63,60,59,39,60,61,60,40,59,62,60,39,60,62,61,39,60,61,59
21972,94,61,63,60,68,71,61,60,61,68,66,60,61,61,68,70,59,61,62,68
22277,87,61,61,39,61,60,61,41,60,60,63,38,59,64,62,40,61,61,61,40
22582,83,65,61,69,69,61,60,62,69,66,59,62,62,68,71,59,60,58,70,70
